mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_classifier__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.319072723388672,0.04737464675661437,0.7644763946533203,0.031505200191817004,1,linear,,"{'classifier__C': 1, 'classifier__kernel': 'linear'}",0.9900811541929666,0.9954914337240758,0.9909828674481514,0.9918845807033363,0.9909747292418772,0.9918829530620815,0.0018922282696301048,5
3.3335380077362062,0.024628828503305097,0.776375150680542,0.040102925002752136,10,linear,,"{'classifier__C': 10, 'classifier__kernel': 'linear'}",0.9945897204688909,0.9945897204688909,0.9891794409377818,0.9909828674481514,0.9909747292418772,0.9920632957131185,0.0021649279275044006,2
3.3272255420684815,0.07951188890402855,0.7410132408142089,0.05279372025298456,100,linear,,"{'classifier__C': 100, 'classifier__kernel': 'linear'}",0.9945897204688909,0.9945897204688909,0.9891794409377818,0.9909828674481514,0.9909747292418772,0.9920632957131185,0.0021649279275044006,2
3.2272526264190673,0.138511227614594,0.7622960567474365,0.10012374510571165,1000,linear,,"{'classifier__C': 1000, 'classifier__kernel': 'linear'}",0.9945897204688909,0.9945897204688909,0.9891794409377818,0.9909828674481514,0.9909747292418772,0.9920632957131185,0.0021649279275044006,2
6.781473636627197,0.44036966796483284,1.7716777324676514,0.09337480583524588,1,rbf,0.001,"{'classifier__C': 1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.5725879170423805,0.5734896302975654,0.5734896302975654,0.5734896302975654,0.5731046931407943,0.5732323002151742,0.0003550125498406479,10
7.8049534320831295,0.0996659627450825,1.8546181678771974,0.1285123159589323,1,rbf,0.0001,"{'classifier__C': 1, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.5725879170423805,0.5734896302975654,0.5734896302975654,0.5734896302975654,0.5731046931407943,0.5732323002151742,0.0003550125498406479,10
6.422391319274903,0.08142071531855503,1.736645555496216,0.20230708855958526,10,rbf,0.001,"{'classifier__C': 10, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.9702434625788999,0.9729486023444545,0.9711451758340848,0.9792605951307484,0.9756317689530686,0.9738459209682512,0.00327367868766115,8
8.937968826293945,0.22021315925115503,1.6645336151123047,0.24764403756639958,10,rbf,0.0001,"{'classifier__C': 10, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.5725879170423805,0.5734896302975654,0.5734896302975654,0.5734896302975654,0.5731046931407943,0.5732323002151742,0.0003550125498406479,10
3.919132423400879,0.4398146133621874,0.8885560512542725,0.03472698621221123,100,rbf,0.001,"{'classifier__C': 100, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.9864743011722272,0.9927862939585211,0.9846708746618575,0.9918845807033363,0.9873646209386282,0.988636134286914,0.003155622978903825,6
6.444012546539307,0.26514755995542366,2.300012159347534,0.4496345645744931,100,rbf,0.0001,"{'classifier__C': 100, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.9702434625788999,0.9729486023444545,0.9711451758340848,0.9792605951307484,0.9756317689530686,0.9738459209682512,0.00327367868766115,8
4.30365948677063,0.6003456218301826,1.124385166168213,0.28663854361224,1000,rbf,0.001,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.9927862939585211,0.9945897204688909,0.9891794409377818,0.9918845807033363,0.9927797833935018,0.9922439638924064,0.001766593081074084,1
4.158041381835938,0.2605661616960723,0.5811631679534912,0.07461275714829163,1000,rbf,0.0001,"{'classifier__C': 1000, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.9864743011722272,0.9927862939585211,0.9846708746618575,0.9918845807033363,0.9873646209386282,0.988636134286914,0.003155622978903825,6
